id,title,price,location,size,bedrooms,bathrooms
3924236,دور كامل / شقة كبيرة للبيع في العجمي بسعر لقطة بيع من المالك مباشرة,"450,000",أبو يوسف، العجمي,160 متر²,4,2
3890878,للبيع بشاطئ النخيل داخل فندق الدفاع الجوي شقه 3غرف نوم و2حمام,"590,000",داخل فندق الدفاع الجوي بشاطئ النخيل الاسكندرية الكيلو 21,165 متر²,3,2
3910424,للبيع شقه دور كامل 324متر بشاطئ النخيل الاسكندرية الكيلو 21 عدد5غرف,"980,000",شاطئ النخيل الاسكندرية الكيلو 21علي الشارع الرئيسي,324 متر²,5,2
3910382,للبيع شقه 120متر بشاطئ النخيل  الاسكندرية اعلي مستوى تشطيب,"490,000",للبيع شقه 120متر بشاطئ النخيل الاسكندرية  اعلي مستوي تشطيب بجوار فندق الدفاع الجوي للقوات المسلحة,120 متر²,2,1
3910221,للبيع شقه 150متر بعمائر ظباط القوات المسلحة بشاطئ النخيل الاسكندرية الكيلو 21,"410,000",عمائر ظباط القوات المسلحه بشاطئ النخيل الاسكندرية الكيلو 21,150 متر²,2,2
3888879,شـقـة مـمـيزه جــداً لـلـبـيـع 3 غرفة نوم و2 حمام بشاطئ النخيل,"750,000",6 اكتوبر,150 متر²,3,2
3886877,شـقـة مـمـيزة للـبـيـع 3 غرفة نوم بشاطئ النخيل,"470,000",6اكتوبر النخيل,165 متر²,3,1
3882337,روف دوبلكس تقسيط على سنتين بشاطئ النخيل,"870,000",روف دوبلكس بشاطئ النخيل الاسكندرية تقسيط على سنتين,300 متر²,3,3
3882353,للبيع بشاطئ النخيل الاسكندرية ثلاثة غرف نوم ب330الف,"330,000",للبيع بشاطئ النخيل الاسكندرية الكيلو 21 ثلاث غرف نوم بسعر مغري جدا,100 متر²,2,1
3834916,شقه للبيع بشاطئ النخيل داخل منتجع حمامات سباحه وسينماااااا وكافيهات ومطاعم,"630,000","شارع رقم 35, شاطئ النخيل - ٦ اكتوبر",120 متر²,2,1
3888860,شقة للبيع 2 غرفة نوم بشاطئ النخيل,"390,000",بشاطئ الـنـخـيل,125 متر²,2,1
3839007,شقة مميزه للبيع 3 غرفة نوم و 2 حمام بشاطئ النخيل,"720,000",النخيل,180 متر²,3,2
3834899,روف دوبلكس اول شارع من الرئيسي والبحر بشاطئ النخيل بتقسيط على سنتين,"460,000",بشاطئ النخيل,100 متر²,2,1
3834889,شقة للبيع بشاطئ النخيل بتقسيط على سنتين على الشارع الرئيسي ڤيو بحر,"440,000",بشاطئ النخيل ر,100 متر²,2,1
3896950,شــقـة مـمـيزة لـلـبـيـع 2 غرفة نوم بــشـاطئ الـنـخـيل,"340,000",ـشـاطئ الـنـخـيل,120 متر²,2,1
3896816,شــقـة مـمـيزة لـلـبـيع 2 غرفة نوم بـشـاطئ الـنـخـيل,"390,000",ـشـاطئ الـنـخـيل,120 متر²,2,1
3876762,للبيع شقه بجوار دار الدفاع الجوي بشاطئ النخيل الاسكندرية الكيلو 21,"380,000",شارع رقم 6، شاطئ النخيل - ٦ اكتوبر,120 متر²,1,1
3881462,لعشاق الفخامة والرقي امتلك شقة روعة بالإسكندرية الكيلو21 قرية 6اكتوبر شاطئ النخيل العجمي بالتقسيط المريح 165متر بالدور الثالث حص,"460,000",شارع رقم 57، شاطئ النخيل - ٦ اكتوبر,165 متر²,2,1
3876751,للبيع شقه على البحر ثلاث غرف نوم بشاطئ النخيل الاسكندرية الكيلو 21,"510,000",النخيل 6 اكتوبر,165 متر²,3,1
3842154,شقه تحفه اول نمر علي البحر مباشرة بشاطئ النخيل تقسيط على سنتين,"850,000",بشاطئ النخيل الاسكندرية,120 متر²,2,1
